ID2,SeriesName,Latitude,Longitude
1,Staley,46.77872899989588,-117.08751399999622
2,Naff,46.77869163090411,-117.08706455043072
3,Naff,46.778790999961736,-117.0866779999993
4,Naff,46.778760999910304,-117.0862600000005
5,Palouse,46.77866599998103,-117.08584199999696
6,Palouse,46.778773209119805,-117.0854187451948
7,Palouse,46.77863199995361,-117.08500599999635
8,Palouse,46.778720999969956,-117.08458799999984
9,Palouse,46.778673999978,-117.0841699999985
10,Palouse,46.77873699993956,-117.08375199999587
11,Palouse,46.778657999914685,-117.08333399999816
12,Palouse,46.77873107565679,-117.08293983816527
13,Naff,46.778763999953,-117.08249800000371
14,Naff,46.77868863488025,-117.0816321595137
15,Latah,46.778706999925724,-117.0812440000036
16,Palouse,46.77882599993494,-117.08040800000316
17,Palouse,46.778796999913794,-117.07998999999812
18,Latah,46.77895173630465,-117.08888011980474
19,Latah,46.77882661920084,-117.08846626321564
20,Staley,46.77886699996238,-117.08806400000071
21,Staley,46.77884199993137,-117.08764599999687
22,Palouse,46.77901499993373,-117.08722800000616
23,Palouse,46.77900277876336,-117.08683096836567
24,Naff,46.779076999976795,-117.08639199999726
25,Naff,46.77904699996204,-117.08597400000069
26,Naff,46.77895199989276,-117.08555600000211
27,Palouse,46.77906281902645,-117.08511703761278
28,Staley,46.778917999937406,-117.08471999999949
29,Staley,46.77900699989424,-117.08430200000467
30,Staley,46.77895999993983,-117.08388400000372
31,Palouse,46.779022999933744,-117.08346599999625
32,Staley,46.77894399994788,-117.08304799999787
33,Staley,46.77901299992711,-117.0826300000002
34,Staley,46.77904999996119,-117.08221199999451
35,Naff,46.77885199993577,-117.08179400000543
36,Latah,46.779007365065645,-117.08140584058236
37,Latah,46.77899299995252,-117.08095799999674
38,Latah,46.778848999927455,-117.0805399999992
39,Latah,46.779111999935814,-117.08012199999725
40,Latah,46.7790829999514,-117.07970400000227
41,Palouse,46.77904699991965,-117.07928600000582
42,Latah,46.77911337959572,-117.08870618751641
43,Latah,46.77915299990138,-117.08831800000446
44,Latah,46.77912799989918,-117.08790000000118
45,Palouse,46.77928832826987,-117.0874635132924
46,Staley,46.7792779999784,-117.08706400000042
47,Palouse,46.7793629999256,-117.08664599999607
48,Palouse,46.77933299993983,-117.08622800000269
